_id,adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,lpg_dagitim_sirketi,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longtitude
105,Firma 401,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2016,ESENLER,40345,FEVZİ ÇAKMAK,41.04909299,28.87684213
106,Firma 401,1,Akaryakıt,Firma 10,Firma 34,1,Aktif,1852,ÜMRANİYE,40741,YUKARI DUDULLU,41.01414594,29.16373448
107,Firma 696,1,Akaryakıt,Firma 5,,1,Aktif,1782,BÜYÜKÇEKMECE,40884,KUMBURGAZ,41.02839270,28.45982280
108,Firma 574,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,41.03339729,28.85129206
109,Firma 799,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1663,ŞİŞLİ,40692,ESKİŞEHİR,41.04468951,28.97831723
110,Firma 946,1,Akaryakıt,Firma 12,,1,Aktif,1782,BÜYÜKÇEKMECE,40882,BAHÇELİEVLER,41.01790620,28.48309223
111,Firma 914,1,Akaryakıt,Firma 15,,1,Aktif,1237,ÇATALCA,40899,ÇAKIL,41.11605161,28.45046913
112,Firma 122,1,Akaryakıt,Firma 13,,1,Aktif,1852,ÜMRANİYE,98703,ŞERİFALİ,40.99902935,29.15498896
113,Firma 432,1,Akaryakıt,Firma 12,,1,Aktif,1823,KÜÇÜKÇEKMECE,40592,İNÖNÜ,41.01578731,28.80376468
114,Firma 6,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,41.11736787,28.62845275
115,Firma 853,1,Akaryakıt,Firma 25,,1,Aktif,2054,SANCAKTEPE,40624,BÜYÜKBAKKALKÖY,40.98696716,29.22608529
116,Firma 985,1,Akaryakıt,Firma 21,,1,Aktif,1835,PENDİK,40634,GÜZELYALI,40.85944317,29.28156925
117,Firma 233,1,Akaryakıt,Firma 13,,1,Aktif,1336,GAZİOSMANPAŞA,40456,ŞEMSİPAŞA,41.07000505,28.90675266
118,Firma 433,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2053,ESENYURT,40858,SAADETDERE,41.00057571,28.69146283
119,Firma 593,1,Akaryakıt,Firma 5,Firma 14,1,Aktif,1739,ZEYTİNBURNU,40840,KAZLIÇEŞME,40.98218188,28.89369976
120,Firma 769,2,Akaryakıt Lpg,Firma 7,Firma 52,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,41.04251084,28.84661452
121,Firma 41,1,Akaryakıt,Firma 5,,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,40.88487599,29.23556676
122,Firma 249,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1325,EYÜPSULTAN,40376,TOPÇULAR,41.04165762,28.91991842
123,Firma 440,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1659,ŞİLE,40959,ÇAVUŞ,41.15579592,29.60433743
124,Firma 353,1,Akaryakıt,Firma 12,,1,Aktif,1166,BAKIRKÖY,40193,ZEYTİNLİK,40.97437360,28.87435950
125,Firma 881,1,Akaryakıt,Firma 12,,1,Aktif,1604,SARIYER,40668,KİREÇBURNU,41.15146045,29.04263104
126,Firma 512,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2053,ESENYURT,40855,BAĞLARÇEŞME,41.03196841,28.67431515
127,Firma 636,1,Akaryakıt,Firma 12,,1,Aktif,2051,BEYLİKDÜZÜ,40894,YAKUPLU,40.98881815,28.66760101
128,Firma 338,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2050,BAŞAKŞEHİR,40583,KAYABAŞI,,
129,Firma 815,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2054,SANCAKTEPE,40624,BÜYÜKBAKKALKÖY,40.98060433,29.22024278
130,Firma 652,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1237,ÇATALCA,40897,FERHATPAŞA,41.13514557,28.46564530
131,Firma 968,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2016,ESENLER,40351,TUNA,41.05024848,28.85920901
132,Firma 8,1,Akaryakıt,Firma 13,,1,Aktif,1604,SARIYER,40680,YENİKÖY,41.11772420,29.06441979
133,Firma 701,1,Akaryakıt,Firma 15,,1,Aktif,2049,ATAŞEHİR,40740,MUSTAFA KEMAL,40.99697425,29.08879255
134,Firma 977,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2004,BAĞCILAR,40158,KAZIM KARABEKİR,41.02869735,28.84646128
135,Firma 58,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2012,MALTEPE,40618,GİRNE,40.94268716,29.14385305
136,Firma 776,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2054,SANCAKTEPE,40574,VEYSEL KARANİ,40.97492860,29.24066147
137,Firma 593,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2004,BAĞCILAR,40155,BAĞLAR,41.02468823,28.82851460
138,Firma 838,2,Akaryakıt Lpg,,,1,Aktif,1663,ŞİŞLİ,,MERKEZ,,
139,Firma 605,1,Akaryakıt,,,1,Aktif,2051,BEYLİKDÜZÜ,,,,
140,Firma 8,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,41.02885255,28.79068333
141,Firma 964,2,Akaryakıt Lpg,Firma 9,Firma 3,1,Aktif,2014,SULTANBEYLİ,40950,MEHMET AKİF,40.96435042,29.27415361
142,Firma 381,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,41.11753578,28.62940650
143,Firma 756,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1325,EYÜPSULTAN,40368,KARADOLAP,41.07948450,28.93045376
144,Firma 865,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,41.03364903,28.80740684
145,Firma 772,1,Akaryakıt,Firma 5,,1,Aktif,1449,KARTAL,40567,SOĞANLIK YENİ,40.91082712,29.19910787
146,Firma 441,1,Akaryakıt,Firma 10,Firma 10,1,Aktif,2015,TUZLA,40731,FATİH,40.93162410,29.33890266
147,Firma 130,1,Akaryakıt,Firma 12,,1,Aktif,1237,ÇATALCA,40903,ATATÜRK,41.41039208,28.18491916
148,Firma 791,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1622,SİLİVRİ,40921,YENİ,41.06963005,28.29259980
149,Firma 898,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1708,ÜSKÜDAR,40820,SELİMİYE,41.01064393,29.02021941
150,Firma 601,1,Akaryakıt,Firma 5,,1,Aktif,2050,BAŞAKŞEHİR,40581,BAŞAKŞEHİR,41.10409804,28.78326758
151,Firma 215,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1708,ÜSKÜDAR,40809,KISIKLI,41.02386574,29.08152877
152,Firma 509,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1782,BÜYÜKÇEKMECE,40844,ALKENT 2000,41.07923068,28.62487209
153,Firma 606,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2053,ESENYURT,40861,ARDIÇLI,41.04239594,28.67641230
154,Firma 762,1,Akaryakıt,Firma 25,,1,Aktif,2016,ESENLER,40347,MENDERES,41.04137304,28.88090155
155,Firma 622,1,Akaryakıt,,,1,Aktif,2051,BEYLİKDÜZÜ,40893,MARMARA,40.96124162,28.65597255
156,Firma 463,2,Akaryakıt Lpg,Firma 10,Firma 29,1,Aktif,2015,TUZLA,40732,MESCİT,40.88408316,29.34923857
157,Firma 947,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1185,BEYKOZ,40237,GÜMÜŞSUYU,41.12788140,29.09614625
158,Firma 768,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1663,ŞİŞLİ,40696,HALİDE EDİP ADIVAR,41.05952851,28.97611861
159,Firma 181,2,Akaryakıt Lpg,Firma 10,,1,Aktif,2015,TUZLA,40725,AKFIRAT,,
160,Firma 80,1,Akaryakıt,Firma 12,,1,Aktif,1237,ÇATALCA,40901,OVAYENİCE,41.10456986,28.42483278
161,Firma 600,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1325,EYÜPSULTAN,191745,ÇİFTALAN,41.23651473,28.90607452
162,Firma 130,1,Akaryakıt,Firma 27,,1,Aktif,1622,SİLİVRİ,40930,BALABAN,41.08455767,28.03743955
163,Firma 513,2,Akaryakıt Lpg,Firma 12,Firma 36,1,Aktif,2012,MALTEPE,40614,CEVİZLİ,40.92404171,29.15102638
164,Firma 582,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2003,AVCILAR,40153,YEŞİLKENT,41.05105637,28.68774615
165,Firma 497,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1327,FATİH,40387,SEYYİD ÖMER,41.00725845,28.92843682
166,Firma 30,2,Akaryakıt Lpg,Firma 2,Firma 6,1,Aktif,1325,EYÜPSULTAN,40483,BOĞAZKÖY İSTİKLAL,41.13673143,28.81707269
167,Firma 942,1,Akaryakıt,Firma 13,,1,Aktif,2053,ESENYURT,40851,FATİH,41.03380717,28.68004637
168,Firma 510,1,Akaryakıt,Firma 10,Firma 10,1,Aktif,1325,EYÜPSULTAN,40376,TOPÇULAR,41.03914139,28.91734304
169,Firma 343,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1622,SİLİVRİ,40941,BÜYÜK ÇAVUŞLU,41.24933896,28.03778348
170,Firma 817,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1421,KADIKÖY,40509,ACIBADEM,41.00306655,29.03626706
171,Firma 115,1,Akaryakıt,Firma 13,,1,Aktif,1325,EYÜPSULTAN,40374,SAKARYA,41.06626839,28.94297153
172,Firma 744,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2053,ESENYURT,40866,YEŞİLKENT,41.03065998,28.66262247
173,Firma 401,2,Akaryakıt Lpg,Firma 10,,1,Aktif,1237,ÇATALCA,40909,NAKKAŞ,,
174,Firma 168,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,2004,BAĞCILAR,40169,15 TEMMUZ,41.04482464,28.81695939
175,Firma 149,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1421,KADIKÖY,40509,ACIBADEM,41.00477289,29.03535600
176,Firma 987,1,Akaryakıt,,,1,Aktif,1835,PENDİK,40642,VELİBABA,40.90661526,29.25279936
