_id,adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,lpg_dagitim_sirketi,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longtitude
363,Firma 916,2,Akaryakıt Lpg,Firma 22,Firma 29,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,41.02102385,28.56318003
364,Firma 114,2,Akaryakıt Lpg,Firma 22,Firma 13,1,Aktif,1336,GAZİOSMANPAŞA,40460,YENİ MAHALLE,41.08208320,28.89300155
365,Firma 7,2,Akaryakıt Lpg,Firma 11,Firma 29,1,Aktif,1336,GAZİOSMANPAŞA,40463,KARAYOLLARI,41.08698267,28.88928688
366,Firma 113,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2053,ESENYURT,181522,KOZA,41.08044666,28.65244850
367,Firma 761,2,Akaryakıt Lpg,Firma 13,,1,Aktif,1886,BAYRAMPAŞA,40206,TERAZİDERE,41.02805148,28.89936721
368,Firma 744,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1421,KADIKÖY,40525,SAHRAYICEDİT,40.98152792,29.08135026
369,Firma 353,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2050,BAŞAKŞEHİR,40871,BAHÇEŞEHİR 1. KISIM,41.07178455,28.69399993
370,Firma 793,2,Akaryakıt Lpg,,,1,Aktif,2051,BEYLİKDÜZÜ,40873,KAVAKLI,40.98940391,28.65694297
371,Firma 149,2,Akaryakıt Lpg,Firma 3,Firma 10,1,Aktif,2055,SULTANGAZİ,40465,CUMHURİYET,41.08989876,28.88303667
372,Firma 268,1,Akaryakıt,Firma 13,,1,Aktif,1622,SİLİVRİ,40930,BALABAN,41.06038321,28.08431524
373,Firma 50,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2055,SULTANGAZİ,40465,CUMHURİYET,41.09130079,28.88428792
374,Firma 657,2,Akaryakıt Lpg,Firma 10,,1,Aktif,2015,TUZLA,40718,EVLİYA ÇELEBİ,40.83733449,29.29604496
375,Firma 353,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1421,KADIKÖY,40509,ACIBADEM,41.00318460,29.03408572
376,Firma 172,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2016,ESENLER,40352,KEMER,41.05482568,28.87583121
377,Firma 744,1,Akaryakıt,Firma 12,,1,Aktif,1166,BAKIRKÖY,40197,KARTALTEPE,40.98804233,28.88413130
378,Firma 421,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2052,ÇEKMEKÖY,40756,MERKEZ,41.03704410,29.15567680
379,Firma 808,1,Akaryakıt,Firma 10,,1,Aktif,1325,EYÜPSULTAN,40362,DÜĞMECİLER,41.04574924,28.93140871
380,Firma 831,1,Akaryakıt,Firma 13,,1,Aktif,2051,BEYLİKDÜZÜ,40867,GÜRPINAR,40.99598980,28.60619924
381,Firma 372,1,Akaryakıt,,,1,Aktif,1835,PENDİK,40646,KAVAKPINAR,40.88608338,29.28652515
382,Firma 55,2,Akaryakıt Lpg,Firma 9,Firma 3,1,Aktif,1782,BÜYÜKÇEKMECE,40868,PINARTEPE,41.01634011,28.62590929
383,Firma 899,1,Akaryakıt,Firma 13,,1,Aktif,1622,SİLİVRİ,40941,BÜYÜK ÇAVUŞLU,41.20384889,28.07676941
384,Firma 595,1,Akaryakıt,Firma 19,,1,Aktif,1659,ŞİLE,191931,DEĞİRMENÇAYIRI,40.98275215,29.66576089
385,Firma 549,1,Akaryakıt,Firma 10,,1,Aktif,1166,BAKIRKÖY,40202,ATAKÖY 1. KISIM,40.97402414,28.87318947
386,Firma 456,1,Akaryakıt,Firma 13,,1,Aktif,2015,TUZLA,40732,MESCİT,40.88118159,29.34513705
387,Firma 731,,Bilinmiyor,Firma 12,Firma 47,1,Aktif,1708,ÜSKÜDAR,40785,BAHÇELİEVLER,41.04925741,29.07687186
388,Firma 933,2,Akaryakıt Lpg,Firma 10,Firma 29,1,Aktif,2052,ÇEKMEKÖY,191999,SIRAPINAR,41.10996478,29.31070260
389,Firma 218,2,Akaryakıt Lpg,Firma 5,Firma 10,1,Aktif,2014,SULTANBEYLİ,40950,MEHMET AKİF,40.96503519,29.27201947
390,Firma 814,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1823,KÜÇÜKÇEKMECE,40606,FATİH,40.98684199,28.76996141
391,Firma 401,1,Akaryakıt,Firma 13,,1,Aktif,2049,ATAŞEHİR,40533,KAYIŞDAĞI,40.98766792,29.14387497
392,Firma 488,1,Akaryakıt,Firma 13,,1,Aktif,1421,KADIKÖY,40523,BOSTANCI,40.95732295,29.09763305
393,Firma 487,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1336,GAZİOSMANPAŞA,40460,YENİ MAHALLE,41.07809364,28.89904062
394,Firma 233,1,Akaryakıt,Firma 12,Firma 47,1,Aktif,1835,PENDİK,40631,KAYNARCA,40.87516932,29.25431090
395,Firma 859,2,Akaryakıt Lpg,Firma 15,,1,Aktif,1166,BAKIRKÖY,40197,KARTALTEPE,40.99700685,28.87159734
396,Firma 785,1,Akaryakıt,Firma 5,,1,Aktif,2005,BAHÇELİEVLER,40177,BAHÇELİEVLER,41.00336557,28.86629591
397,Firma 425,1,Akaryakıt,Firma 7,,1,Aktif,1237,ÇATALCA,191785,ÇANAKÇA,41.25125326,28.49238990
398,Firma 353,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2012,MALTEPE,40618,GİRNE,40.93891894,29.13621962
399,Firma 8,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2055,SULTANGAZİ,40472,SULTANÇİFTLİĞİ,41.09355800,28.86348523
400,Firma 450,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1186,BEYOĞLU,40305,ÖRNEKTEPE,41.05692589,28.95109131
401,Firma 539,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2053,ESENYURT,40881,ATATÜRK,41.01967015,28.63169775
402,Firma 461,2,Akaryakıt Lpg,,,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.04958293,28.82047125
403,Firma 345,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1325,EYÜPSULTAN,40365,MERKEZ,41.05667261,28.93911900
404,Firma 144,1,Akaryakıt,Firma 10,,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,40.89141356,29.23323457
405,Firma 724,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2054,SANCAKTEPE,98781,ATATÜRK,41.00851137,29.21597958
406,Firma 215,1,Akaryakıt,,,1,Aktif,1823,KÜÇÜKÇEKMECE,40582,ATAKENT,41.06121582,28.77545646
407,Firma 232,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1622,SİLİVRİ,40940,SELİMPAŞA,41.06432041,28.32077228
408,Firma 34,1,Akaryakıt,Firma 13,,1,Aktif,1166,BAKIRKÖY,40190,YENİMAHALLE,40.98161978,28.88431083
409,Firma 596,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1835,PENDİK,40627,DOĞU,40.88151563,29.24040116
410,Firma 477,1,Akaryakıt,Firma 10,,1,Aktif,1835,PENDİK,40630,ŞEYHLİ,40.90536913,29.28536192
411,Firma 316,1,Akaryakıt,Firma 13,,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.01390184,28.82591129
412,Firma 935,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1622,SİLİVRİ,40923,MİMAR SİNAN,41.08089449,28.20540691
413,Firma 165,1,Akaryakıt,Firma 10,,1,Aktif,1663,ŞİŞLİ,40697,HALİL RIFAT PAŞA,41.05653604,28.96513367
414,Firma 130,1,Akaryakıt,Firma 13,,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.04591634,28.82983716
415,Firma 720,1,Akaryakıt,Firma 10,,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,41.01896944,28.63108952
416,Firma 437,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2004,BAĞCILAR,40166,KİRAZLI,41.03264496,28.83403227
417,Firma 854,2,Akaryakıt Lpg,Firma 10,,1,Aktif,1782,BÜYÜKÇEKMECE,40888,MURAT ÇESME,41.01262049,28.53723371
418,Firma 897,2,Akaryakıt Lpg,Firma 15,Firma 28,1,Aktif,1886,BAYRAMPAŞA,40210,YILDIRIM,41.06114050,28.89214984
419,Firma 8,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1810,KAĞITHANE,40543,MERKEZ,41.08562417,28.96854454
420,Firma 979,1,Akaryakıt,,,1,Aktif,1835,PENDİK,40629,FEVZİ ÇAKMAK,40.89092212,29.26322309
421,Firma 524,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2015,TUZLA,40731,FATİH,40.91728049,29.35200438
422,Firma 36,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1185,BEYKOZ,40241,ÇUBUKLU,41.09487573,29.09087267
423,Firma 123,1,Akaryakıt,Firma 10,Firma 10,1,Aktif,2054,SANCAKTEPE,40762,MECLİS,41.00798822,29.19311182
424,Firma 89,1,Akaryakıt,Firma 13,,1,Aktif,2049,ATAŞEHİR,40530,İÇERENKÖY,40.96706594,29.10422482
425,Firma 196,1,Akaryakıt,Firma 12,,1,Aktif,1336,GAZİOSMANPAŞA,40458,HÜRRİYET,41.06180709,28.90231997
426,Firma 467,1,Akaryakıt,Firma 3,Firma 11,1,Aktif,1336,GAZİOSMANPAŞA,40458,HÜRRİYET,41.07048389,28.90229838
427,Firma 982,1,Akaryakıt,Firma 15,,1,Aktif,1835,PENDİK,40633,BATI,40.87573633,29.23297247
428,Firma 546,1,Akaryakıt,Firma 13,,1,Aktif,1336,GAZİOSMANPAŞA,40461,KAZIM KARABEKİR,41.08372140,28.90890001
429,Firma 33,2,Akaryakıt Lpg,Firma 12,Firma 37,1,Aktif,2050,BAŞAKŞEHİR,40871,BAHÇEŞEHİR 1. KISIM,41.06043310,28.69851730
430,Firma 364,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1183,BEŞİKTAŞ,40225,ORTAKÖY,41.05444498,29.03377410
431,Firma 136,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2010,GÜNGÖREN,40504,ABDURRAHMAN NAFİZ GÜRMAN,41.00477714,28.89232007
432,Firma 943,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1449,KARTAL,40555,CEVİZLİ,40.91117178,29.18168180
433,Firma 733,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2053,ESENYURT,181480,OSMANGAZİ,41.03797011,28.64186646
434,Firma 401,2,Akaryakıt Lpg,Firma 9,Firma 42,1,Aktif,1708,ÜSKÜDAR,98667,KÜÇÜKÇAMLICA,41.01562930,29.07459879
435,Firma 782,2,Akaryakıt Lpg,Firma 22,Firma 29,1,Aktif,1823,KÜÇÜKÇEKMECE,40587,SÖĞÜTLÜ ÇEŞME,41.01293832,28.79168159
436,Firma 40,1,Akaryakıt,Firma 12,,1,Aktif,1604,SARIYER,40704,MASLAK,41.11577160,29.02328368
437,Firma 599,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1852,ÜMRANİYE,40748,ATAKENT,41.02308828,29.10803600
438,Firma 839,1,Akaryakıt,Firma 12,,1,Aktif,2012,MALTEPE,40611,KÜÇÜKYALI MERKEZ,40.94801038,29.10653007
439,Firma 149,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1449,KARTAL,40556,CUMHURİYET,40.89707377,29.22570029
440,Firma 969,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1325,EYÜPSULTAN,191753,PİRİNÇÇİ,41.20086472,28.82506620
441,Firma 336,1,Akaryakıt,Firma 13,Firma 39,1,Aktif,1739,ZEYTİNBURNU,40840,KAZLIÇEŞME,40.98166199,28.89088175
442,Firma 374,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2055,SULTANGAZİ,40474,CEBECİ,41.10887447,28.85970541
443,Firma 704,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2054,SANCAKTEPE,40576,FATİH,40.95854245,29.21479814
444,Firma 61,1,Akaryakıt,Firma 12,,1,Aktif,2055,SULTANGAZİ,40467,75. YIL,41.09865103,28.90037320
445,Firma 429,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1835,PENDİK,40645,ORTA,40.88658933,29.24185877
446,Firma 353,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2050,BAŞAKŞEHİR,40871,BAHÇEŞEHİR 1. KISIM,41.05981170,28.69920805
447,Firma 958,1,Akaryakıt,Firma 21,,1,Aktif,1237,ÇATALCA,40900,İZZETTİN,41.17215571,28.50272719
448,Firma 665,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1185,BEYKOZ,40250,ACARLAR,41.12164292,29.14625501
449,Firma 931,2,Akaryakıt Lpg,Firma 12,Firma 22,1,Aktif,2014,SULTANBEYLİ,40948,HASANPAŞA,40.97177557,29.24849597
450,Firma 875,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1166,BAKIRKÖY,40199,ŞENLİKKÖY,40.98640206,28.81960077
451,Firma 291,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1852,ÜMRANİYE,40745,IHLAMURKUYU,41.02058605,29.12964144
452,Firma 348,2,Akaryakıt Lpg,Firma 12,Firma 36,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.05882767,28.83104024
453,Firma 135,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1622,SİLİVRİ,40935,GÜMÜŞYAKA,41.04359049,28.03589148
454,Firma 744,1,Akaryakıt,Firma 5,,1,Aktif,2054,SANCAKTEPE,40762,MECLİS,41.00975537,29.21090597
455,Firma 131,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1852,ÜMRANİYE,40737,İNKILAP,41.03100559,29.10747116
456,Firma 581,2,Akaryakıt Lpg,Firma 27,Firma 51,1,Aktif,2052,ÇEKMEKÖY,40756,MERKEZ,41.04493396,29.17717304
457,Firma 123,1,Akaryakıt,Firma 10,Firma 10,1,Aktif,2054,SANCAKTEPE,40576,FATİH,40.95684723,29.21389622
458,Firma 311,2,Akaryakıt Lpg,Firma 7,Firma 52,1,Aktif,1622,SİLİVRİ,40940,SELİMPAŞA,41.05166704,28.38699643
459,Firma 392,1,Akaryakıt,Firma 13,,1,Aktif,1604,SARIYER,40661,ÇAYIRBAŞI,41.15603424,29.03575604
460,Firma 941,1,Akaryakıt,Firma 5,,1,Aktif,1659,ŞİLE,191861,AHMETLİ,41.16117111,29.59034112
461,Firma 867,1,Akaryakıt,Firma 27,,1,Aktif,1325,EYÜPSULTAN,40359,ALİBEYKÖY,41.08344499,28.94887753
462,Firma 472,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1186,BEYOĞLU,40279,İSTİKLAL,41.04063261,28.96738729
463,Firma 353,1,Akaryakıt,Firma 5,,1,Aktif,1185,BEYKOZ,40248,RÜZGARLIBAHÇE,41.09474789,29.09756142
464,Firma 740,2,Akaryakıt Lpg,Firma 27,Firma 53,1,Aktif,2015,TUZLA,40730,ANADOLU,40.90858905,29.36098610
465,Firma 289,2,Akaryakıt Lpg,,,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,,
466,Firma 283,1,Akaryakıt,Firma 9,,1,Aktif,2049,ATAŞEHİR,40577,FERHATPAŞA,40.99031873,29.17570324
467,Firma 481,1,Akaryakıt,Firma 12,,1,Aktif,2049,ATAŞEHİR,40531,KÜÇÜKBAKKALKÖY,40.98599295,29.10873277
468,Firma 612,1,Akaryakıt,Firma 13,,1,Aktif,1183,BEŞİKTAŞ,40222,GAYRETTEPE,41.06142149,29.01104994
469,Firma 950,2,Akaryakıt Lpg,Firma 10,Firma 29,1,Aktif,2014,SULTANBEYLİ,40948,HASANPAŞA,40.96817004,29.25312263
470,Firma 702,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2010,GÜNGÖREN,40501,HAZNEDAR,41.00691653,28.87140247
471,Firma 130,2,Akaryakıt Lpg,Firma 7,Firma 52,1,Aktif,1663,ŞİŞLİ,40694,FULYA,41.06122011,29.00124934
472,Firma 796,1,Akaryakıt,,,1,Aktif,2015,TUZLA,40729,ORTA,40.88835178,29.37472123
473,Firma 841,2,Akaryakıt Lpg,Firma 2,Firma 25,1,Aktif,2014,SULTANBEYLİ,40955,ORHANGAZİ,40.94061661,29.28526576
474,Firma 511,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2010,GÜNGÖREN,40498,GENÇOSMAN,41.03248925,28.88381225
475,Firma 187,2,Akaryakıt Lpg,Firma 10,Firma 29,1,Aktif,2054,SANCAKTEPE,40775,MERVE,41.00720945,29.24424775
476,Firma 415,2,Akaryakıt Lpg,,,1,Aktif,1886,BAYRAMPAŞA,40205,VATAN,41.03191942,28.90553774
477,Firma 228,1,Akaryakıt,Firma 10,,1,Aktif,2052,ÇEKMEKÖY,40758,ÖMERLİ,41.08802801,29.34381762
478,Firma 436,2,Akaryakıt Lpg,Firma 2,Firma 48,1,Aktif,1622,SİLİVRİ,40927,ALİPAŞA,41.10371436,28.21939533
479,Firma 335,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2015,TUZLA,40719,POSTANE,40.81945386,29.30622581
480,Firma 421,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2052,ÇEKMEKÖY,40753,ÇAMLIK,41.01394614,29.19534511
481,Firma 439,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2054,SANCAKTEPE,40762,MECLİS,41.00860922,29.20170178
482,Firma 672,2,Akaryakıt Lpg,Firma 10,Firma 33,1,Aktif,2015,TUZLA,40728,ORHANLI,40.90778610,29.34327854
483,Firma 908,2,Akaryakıt Lpg,Firma 23,Firma 28,1,Aktif,2015,TUZLA,40726,TEPEÖREN,40.90348792,29.39458140
484,Firma 353,2,Akaryakıt Lpg,Firma 13,,1,Aktif,2052,ÇEKMEKÖY,,,41.06738261,29.27611352
485,Firma 984,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1449,KARTAL,40572,YUKARI,40.88918493,29.18118040
486,Firma 276,2,Akaryakıt Lpg,Firma 10,Firma 25,1,Aktif,1325,EYÜPSULTAN,40376,TOPÇULAR,41.03876100,28.92195050
487,Firma 865,1,Akaryakıt,Firma 15,,1,Aktif,1186,BEYOĞLU,40280,HACIAHMET,41.03880903,28.97264845
488,Firma 534,1,Akaryakıt,Firma 23,,1,Aktif,1237,ÇATALCA,191815,SUBAŞI,41.22362268,28.45501922
489,Firma 647,1,Akaryakıt,Firma 5,,1,Aktif,1325,EYÜPSULTAN,40365,MERKEZ,41.05763610,28.94188186
490,Firma 677,1,Akaryakıt,Firma 10,,1,Aktif,2054,SANCAKTEPE,40576,FATİH,40.95250203,29.21512533
491,Firma 397,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2015,TUZLA,40732,MESCİT,40.89976898,29.35113698
492,Firma 953,1,Akaryakıt,Firma 3,,1,Aktif,1810,KAĞITHANE,40544,MEHMET AKİF ERSOY,41.06293591,28.95089177
493,Firma 353,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1810,KAĞITHANE,40547,SULTAN SELİM,41.09433608,28.99299325
494,Firma 904,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,41.01743535,28.56224986
495,Firma 175,1,Akaryakıt,Firma 5,,1,Aktif,1810,KAĞITHANE,40535,ÇAĞLAYAN,41.07165321,28.97989356
496,Firma 12,1,Akaryakıt,Firma 13,,1,Aktif,2052,ÇEKMEKÖY,40751,EKŞİOĞLU,41.02688061,29.23974643
497,Firma 778,2,Akaryakıt Lpg,Firma 23,Firma 29,1,Aktif,1327,FATİH,40321,KÜÇÜK AYASOFYA,41.00181317,28.97249490
498,Firma 713,1,Akaryakıt,Firma 11,,1,Aktif,1659,ŞİLE,191953,DOĞANCILI,41.19080529,29.44725466
499,Firma 601,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.00988951,28.83102794
500,Firma 845,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2003,AVCILAR,40149,ÜNİVERSİTE,40.98825712,28.71868008
501,Firma 38,1,Akaryakıt,Firma 5,,1,Aktif,2005,BAHÇELİEVLER,40182,KOCASİNAN MERKEZ,41.01423895,28.84219214
502,Firma 870,1,Akaryakıt,Firma 10,,1,Aktif,1421,KADIKÖY,40513,ZÜHTÜPAŞA,40.98389906,29.04009447
503,Firma 731,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1449,KARTAL,40558,ÇAVUŞOĞLU,40.88955086,29.20683015
504,Firma 731,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1449,KARTAL,40566,PETROL İŞ,40.89118955,29.17736785
505,Firma 625,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1604,SARIYER,40675,REŞİTPAŞA,41.10741219,29.01511161
506,Firma 482,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2050,BAŞAKŞEHİR,40357,BAŞAK,41.08455340,28.81069020
507,Firma 748,2,Akaryakıt Lpg,Firma 10,Firma 29,1,Aktif,2048,ARNAVUTKÖY,40483,BOĞAZKÖY İSTİKLAL,41.15123592,28.78779368
508,Firma 163,1,Akaryakıt,Firma 12,,1,Aktif,1622,SİLİVRİ,40941,BÜYÜK ÇAVUŞLU,41.22622091,28.06378658
509,Firma 798,1,Akaryakıt,Firma 12,,1,Aktif,1622,SİLİVRİ,40933,FEVZİPAŞA,41.09495896,27.99693737
510,Firma 493,1,Akaryakıt,Firma 10,,1,Aktif,2014,SULTANBEYLİ,40947,TURGUT REİS,40.96122581,29.28279741
511,Firma 215,1,Akaryakıt,Firma 15,,1,Aktif,2051,BEYLİKDÜZÜ,40894,YAKUPLU,41.00426897,28.68413878
512,Firma 723,1,Akaryakıt,Firma 12,,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,41.03679069,28.85288520
513,Firma 871,2,Akaryakıt Lpg,Firma 23,Firma 28,1,Aktif,1823,KÜÇÜKÇEKMECE,40596,FEVZİ ÇAKMAK,41.00846474,28.79462734
514,Firma 593,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1708,ÜSKÜDAR,40786,BARBAROS,41.01651772,29.03016851
515,Firma 413,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1186,BEYOĞLU,40291,BOSTAN,41.03986787,28.97751708
516,Firma 149,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1663,ŞİŞLİ,40697,HALİL RIFAT PAŞA,41.05850689,28.96565090
517,Firma 349,1,Akaryakıt,Firma 7,,1,Aktif,2014,SULTANBEYLİ,40947,TURGUT REİS,40.96441708,29.28132338
518,Firma 478,2,Akaryakıt Lpg,Firma 12,Firma 37,1,Aktif,1835,PENDİK,40627,DOĞU,,
519,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1852,ÜMRANİYE,40748,ATAKENT,41.01328460,29.10715280
520,Firma 703,1,Akaryakıt,Firma 13,,1,Aktif,1327,FATİH,99142,ZEYREK,41.01670771,28.95509422
521,Firma 44,1,Akaryakıt,Firma 12,,1,Aktif,1835,PENDİK,40629,FEVZİ ÇAKMAK,40.87370848,29.26604853
522,Firma 852,2,Akaryakıt Lpg,Firma 27,Firma 51,1,Aktif,2048,ARNAVUTKÖY,40479,İSLAMBEY,41.18944311,28.74268625
523,Firma 753,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2053,ESENYURT,181500,ZAFER,41.01160712,28.67935911
524,Firma 81,1,Akaryakıt,,,1,Aktif,1237,ÇATALCA,191827,HİSARBEYLİ,41.36927879,28.47366212
525,Firma 290,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2054,SANCAKTEPE,192001,PAŞAKÖY,41.04376927,29.27918522
526,Firma 956,2,Akaryakıt Lpg,Firma 25,Firma 25,1,Aktif,2054,SANCAKTEPE,40576,FATİH,40.96678660,29.21556362
527,Firma 790,1,Akaryakıt,Firma 5,,1,Aktif,1327,FATİH,99141,ALİ KUŞÇU,41.01777120,28.95090075
528,Firma 137,1,Akaryakıt,Firma 5,,1,Aktif,2053,ESENYURT,40858,SAADETDERE,41.01154738,28.69804547
529,Firma 645,2,Akaryakıt Lpg,Firma 23,,1,Aktif,1622,SİLİVRİ,40941,BÜYÜK ÇAVUŞLU,41.24434402,28.06737680
530,Firma 388,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1336,GAZİOSMANPAŞA,40464,KARADENİZ,41.07614846,28.88070665
531,Firma 951,1,Akaryakıt,Firma 15,,1,Aktif,1185,BEYKOZ,191731,İSHAKLI,41.13278022,29.28257141
532,Firma 215,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2049,ATAŞEHİR,40526,YENİSAHRA,40.98764191,29.08706788
533,Firma 141,1,Akaryakıt,Firma 12,,1,Aktif,2048,ARNAVUTKÖY,191977,TAYAKADIN,41.26494688,28.68640353
534,Firma 98,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2003,AVCILAR,40152,FİRUZKÖY,40.99944114,28.71346748
535,Firma 457,1,Akaryakıt,Firma 5,,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.04501043,28.82303359
536,Firma 353,2,Akaryakıt Lpg,Firma 12,Firma 10,1,Aktif,2010,GÜNGÖREN,40506,MEHMET NESİH ÖZMEN,41.01724195,28.89044913
537,Firma 912,1,Akaryakıt,Firma 23,,1,Aktif,1166,BAKIRKÖY,40197,KARTALTEPE,40.99101598,28.87090283
538,Firma 241,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1237,ÇATALCA,40898,KALEİÇİ,41.15083300,28.45281339
539,Firma 417,1,Akaryakıt,Firma 12,,1,Aktif,1622,SİLİVRİ,191849,BÜYÜK KILIÇLI,41.16027818,28.18607082
540,Firma 906,1,Akaryakıt,Firma 25,Firma 25,1,Aktif,1166,BAKIRKÖY,40199,ŞENLİKKÖY,40.98547399,28.78567328
541,Firma 130,1,Akaryakıt,,,1,Aktif,1835,PENDİK,,,40.89430881,29.25927376
542,Firma 353,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2053,ESENYURT,181488,BARBAROS HAYRETTİN PAŞA,41.01779013,28.64613628
543,Firma 130,2,Akaryakıt Lpg,Firma 7,Firma 52,1,Aktif,2055,SULTANGAZİ,40467,75. YIL,41.09720383,28.90467187
544,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1325,EYÜPSULTAN,40379,GÖKTÜRK MERKEZ,41.17927948,28.88399551
545,Firma 416,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2049,ATAŞEHİR,40533,KAYIŞDAĞI,40.97938354,29.12716424
546,Firma 618,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1782,BÜYÜKÇEKMECE,40890,ULUS,41.02591190,28.55657737
547,Firma 852,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2049,ATAŞEHİR,40530,İÇERENKÖY,40.97919989,29.10475127
548,Firma 265,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2014,SULTANBEYLİ,40949,ABDURRAHMANGAZİ,40.97128421,29.25725831
